№ п/п,Комбинат,Местоположение,Название должности,Требования,Обязанности,Условия работы,Зарплата,Категория позиции,Тип занятости:,График работы,Сфера деятельности,Кому направить резюме (e-mail),,1/10/2020
47,СВЕЗА Новатор,Новатор ,Водитель автопогрузчика,"• Среднее образование;
• Обязателен опыт работы на аналогичной позиции не менее 1 года;
• Наличие действующих прав тракториста машиниста с особой отметкой «водитель автопогрузчика»
","• Транспортировка грузов между цехами;
• Подготовка погрузчика к эксплуатации (оценка технического состояния);
• Обеспечение бесперебойного выпуска продукции путем перемещения материалов на автопогрузчике;
• Соблюдение правил охраны труда, промышленной безопасности и техники безопасности;
• Замена газовых баллонов.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда, ДМС, льготное питание, служебная развозка до комбината.",28 000,Рабочие,Полная занятость,Сменный график,Производство,anastasiya.sukhikh@sveza.com,• anastasiya.sukhikh@sveza.com  [color=violet](анастасия точка сухих собака свеза точка ком)[/color],
48,СВЕЗА Новатор,Новатор ,Слесарь-ремонтник,"• Среднее профессиональное образование;
• Знание слесарного дела;
• Опыт работы от года.","• Ремонт, обслуживание и содержание в исправном состоянии технологического оборудования;
• Испытание, регулирование, наладка оборудования;
• Выявление и устранение неполадок и дефектов во время эксплуатации оборудования;
• Соблюдение правил промышленной безопасности, охраны труда и противопожарной безопасности.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда, ДМС, льготное питание, служебная развозка до комбината.",от 25 000,Рабочие,Полная занятость,Сменный график,Техническое развитие ,anastasiya.sukhikh@sveza.com,• anastasiya.sukhikh@sveza.com  [color=violet](анастасия точка сухих собака свеза точка ком)[/color],
49,СВЕЗА Новатор,Новатор ,Инженер АСУ ТП,"• Высшее или среднее профессиональное техническое образование;
• Опыт работы в сфере промышленной электроники не менее 3-х лет.  ","• Своевременное техническое обслуживание, замена и ремонт электрической и электронной части технологического оборудования;
• Обеспечение надежности и бесперебойности работы электрического и электронного оборудования;
• Участие в монтаже устройств и систем автоматического управления и регулирования      технологических процессов;
• Контроль за правильной эксплуатацией реконструированного и модернизируемого электронного оборудования;
• Соблюдение правил охраны труда, промышленной безопасности и техники безопасности;
• Участие в разработке инструкций и технической документации.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда, ДМС, льготное питание, служебная развозка до комбината.",,РСС,Полная занятость,Полный день,Техническое развитие ,anastasiya.sukhikh@sveza.com,• anastasiya.sukhikh@sveza.com  [color=violet](анастасия точка сухих собака свеза точка ком)[/color],
50,СВЕЗА Новатор,Новатор ,Сборщик,"• Среднее образование;
• Опыт работы на любых автоматических линиях, современных станках приветствуется;
• Умение работать в коллективе, ответственность, внимательность, дисциплинированность.


","• Набор клеевого пакета;
• Выгрузка набранных пакетов в пресс;
• Контроль качества входящего/выходящего продукта;
• Выполнение плана с соответствующим выходным качеством продукции;
• Соблюдение правил охраны труда, промышленной безопасности и техники безопасности.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Трудоустройство в соответствии с ТК РФ;
• Стабильная заработная плата;
• Обучение и перспектива карьерного роста;
• Стабильный социальный пакет:  спецодежда, компенсация ночного питания, служебная развозка до места работы и обратно, ДМС и другие разнообразные льготы;
• Участие в корпоративной жизни (волонтерство, организация мероприятий).
",от 25 000,Рабочие,Полная занятость,Сменный график,Производство,anastasiya.sukhikh@sveza.com,• anastasiya.sukhikh@sveza.com  [color=violet](анастасия точка сухих собака свеза точка ком)[/color],3
51,СВЕЗА Новатор,Новатор ,Специалист по закупкам,"• Высшее/среднее специальное  образование;
• Опыт работы в производственной компании/закупках от 1 года;
• Уверенный пользователь ПК: знание пакета Microsoft Office;
• Хорошие коммуникационные навыки;
• Инициативность;
• Ответственность;
• Исполнительность;
• Дисциплинированность;
• Умение работать в режиме многозадачности/","• Получение и обработка заявки  от подразделений (получение заявок, уточнение параметров, сроков выполнения, номенклатур);
• Определение оптимального способа выполнения заявки (анализ остатков товара, способ доставки и пр.);
• Осуществление поиска поставщиков  с наиболее выгодными условиями поставок ТМЦ и/или услуг, удовлетворяющих условиям внутренних регламентов, проведение переговоров об условиях поставки;
• Проведение тендеров в соответствии с положением о договорной работе и внутренними регламентами (ЛНА);
• Анализ и оформление результатов тендеров (пакет документов), подготовка договоров, загрузка в СЭД, отслеживание согласований и хранение тендерной документации;
• Оформление заказов в SAP (создание заказа на поставку, подгрузка договора, проведение оплаты в соответствии с условиями договора);
• Контроль статусов выполнения заказа с поставщиками (сроки, кол-ва и пр. условий);
• Координация процесса приемки ТМЦ на склад (оформление пакета документов, предоставление информации складу о товаре, спецтехнике и пр.) ;
• Контроль дебиторской/кредиторской задолженности, платежей;
• Анализ остатков ТМЦ, выявление неликвидов, поиск мер по снижению складских остатков, реализация решений.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда, ДМС, льготное питание, служебная развозка до комбината.",от 30 000,РСС,Полная занятость,Полный день,Закупки и логистика,anastasiya.sukhikh@sveza.com,• anastasiya.sukhikh@sveza.com  [color=violet](анастасия точка сухих собака свеза точка ком)[/color],
52,СВЕЗА Новатор,Новатор ,Инженер-теплотехник,"• Высшее техническое образование;
• Опыт работы в теплоэнергетике от 3 лет;
• ПТЭ электрических станций и сетей РФ;
• ПТЭ тепловых энергоустановок;
• Ответственность;
• Навыки управления персоналом.","• Разработка планов-графиков эксплуатационных работ по ТЭС на основании ПТЭ и действительного состояния оборудования;
• Принятие мер по ликвидации повреждений и устранений аварийного состояния оборудования, механизмов, устройств, инженерных коммуникаций, закрепленных за ТЭС;
• Принятие участия в комиссии по расследованию и учету аварий, отказов и повреждений;
• Анализ инцидентов и повреждений, разработка и осуществление мероприятий, предупреждающих возможность их повторения;
• Осуществление контроля за безопасной эксплуатацией и своевременным техническим обслуживанием газоочистных установок;
• Осуществление технического надзора за строительством и монтажом объектов ТЭС, сооружаемых в территориальной зоне обслуживаемого участка по плану капстроительства;
• Оценка рисков на рабочих местах и разработка мер по их управлению.
","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда, ДМС, льготное питание, служебная развозка до комбината.",,РСС,Полная занятость,Полный день,Техническое развитие ,anastasiya.sukhikh@sveza.com,• anastasiya.sukhikh@sveza.com  [color=violet](анастасия точка сухих собака свеза точка ком)[/color],
53,СВЕЗА Новатор,Новатор ,Электромонтер по ремонту и обслуживанию электрооборудования 5 разряда,"• Образование не ниже среднего профессионального;
• Опыт обслуживания технологического промышленного оборудования не менее 1 года;                                                       • Группа по электробезопасности IV;
• Навыки чтения электрических схем.","• Наладка, ремонт и регулировка электрооборудования, технологического оборудования, сложных электрических схем автоматических линий;
• Проверка и устранение неисправностей в схемах и устройствах электротехнического оборудования подстанций и технологических машин, приборов автоматики;
• Выполнение работ на ведомственных электростанциях, трансформаторных электростанциях с полным их отключением от напряжения оперативных переключений в электросетях, ревизией трансформаторов, выключателей, разъединителей и приводов к ним с разборкой конструктивных элементов;
• Замена пускорегулирующей аппаратуры в люминесцентных светильниках и ремонт арматуры.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда, ДМС, льготное питание, служебная развозка до комбината.",от  25 000,Рабочие,Полная занятость,Сменный график,Техническое развитие ,anastasiya.sukhikh@sveza.com,• anastasiya.sukhikh@sveza.com  [color=violet](анастасия точка сухих собака свеза точка ком)[/color],
54,СВЕЗА Новатор,Новатор ,Начальник тепло-электростанции,"• Высшее техническое образование (область теплоэнергетика);
• Опыт работы в теплоэнергетике от 3 лет;
• Знание нормативных и методических материалов, касающихся производственно-хозяйственной деятельности ТЭС;
• Технологических процессов и режимов работы паровых котлов, термомаслянной котельной установки типа BRV 7 000 и всего вспомогательного оборудования турбогенераторов и правила эксплуатации оборудования;
• Технические и нормативные требования, предъявляемые к качеству тепловых ресурсов;
• Навыки работы на персональном компьютере (MS Office).
","• Оперативное регулирование хода производства, обеспечение ритмичной выработки тепловой и электрической энергии;
• Оценка рисков на рабочих местах и разработка мер по их управлению;
• Разработка план-графиков эксплуатационных работ по ТЭС на основании ПТЭ и действительного состояния оборудования;
• Прием мер по ликвидации повреждений и устранению аварийного состояния оборудования, механизмов, устройств, инженерных коммуникаций, закрепленных за ТЭС;
• Участие в комиссии по расследованию и учету аварий, отказов и повреждений. Анализ инцидентов и повреждений, разработка и осуществление мероприятий, предупреждающих возможность их повторения;
• Контроль за безопасной эксплуатацией и своевременным техническим обслуживанием газоочистных установок (ПГУ);
• Технический надзор за строительством и монтажом объектов ТЭС, сооружаемых в территориальной зоне обслуживаемого участка по плану капстроительства.
","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда, ДМС, льготное питание, служебная развозка до комбината.",,РСС,Полная занятость,Полный день,Техническое развитие ,anastasiya.sukhikh@sveza.com,• anastasiya.sukhikh@sveza.com  [color=violet](анастасия точка сухих собака свеза точка ком)[/color],
55,СВЕЗА Новатор,Новатор ,Специалист по производственной документации,"• Среднее специальное образование;
• Опыт работы с документами: оформление, хранение, учёт;
•  Уверенный пользователь ПК: MS Office (Excel, PowerPoint, Outlook, Project, Word) SAP, СЭД (желательно).
","• Ведение текущего документооборота в подразделении;
• Обеспечение правильности и своевременности оформления первичной документации;
• Своевременная сдача и получение отчетности по подразделении;
• Ведение реестра инструкций, стандартов, приказов по От и ПБ;
• Оперативный учёт и отчётность: ведение журнала регистрации документов, листов ознакомления персонала с регламентирующими документами и изменениями к ним, журнала проверок контролирующими органами/функциями;
• Администрирование баз данных документов и отчетов, обеспечение их своевременной обработки и хранение;
• Проведение по чек -листу аудита состояния документации подразделения, предоставление отчета непосредственному руководителю.
","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда, ДМС, льготное питание, служебная развозка до комбината.",25 000,РСС,Полная занятость,Полный день,Производство,anastasiya.sukhikh@sveza.com,• anastasiya.sukhikh@sveza.com  [color=violet](анастасия точка сухих собака свеза точка ком)[/color],
56,СВЕЗА Новатор,Новатор ,Стажер отдела АСУТП ,"• Студент 3-5 курса технического факультета специальности в области автоматизация промышленных предприятий\производств;
• Коммуникабельность, открытость, внимательность, ответственность;
• Уверенное владение ПК – MS Office .
","• Разработка электрических схем. Монтаж электрооборудования;
• Программирование промышленных контроллеров;
• Введение в эксплуатацию, настройка частотных преобразователей;
• Ремонт, наладка электрической и электронной частей промышленного оборудования.
","• Возможность получения опыта в крупной российской компании, ведущей бизнес в 80 странах мира;
• Конкурентное вознаграждение;
• Рекомендательное письмо по итогам стажировки;
• Обучение и участие в проектах компании.
",15 000,РСС,Стажировка,Гибкий график,"Начальный уровень, Мало опыта ",anastasiya.sukhikh@sveza.com,• anastasiya.sukhikh@sveza.com  [color=violet](анастасия точка сухих собака свеза точка ком)[/color],
57,СВЕЗА Новатор,Новатор ,Стажер технической службы,"• Студент 3-5 курса технического факультета;
• Коммуникабельность, открытость, внимательность, ответственность, активность;
• Уверенное владение ПК – MS Office.
","• Создание иерархии на новое оборудование;
• Участие в анализе критичности нового оборудования;
• Перенос стратегий в автоматизированную систему SAP в виде  технологических карт.","• Возможность получения опыта в крупной российской компании, ведущей бизнес в 80 странах мира;
• Конкурентное вознаграждение;
• Рекомендательное письмо по итогам стажировки;
• Обучение и участие в проектах компании.
",15 000,РСС,Стажировка,Гибкий график,"Начальный уровень, Мало опыта ",anastasiya.sukhikh@sveza.com,• anastasiya.sukhikh@sveza.com  [color=violet](анастасия точка сухих собака свеза точка ком)[/color],
58,СВЕЗА Новатор,Новатор ,Стажер службы по инвестициям ,"• Студент 3-5 курса технического или экономического факультета;
• Коммуникабельность, открытость, внимательность, ответственность, активность;
• Уверенное владение ПК – MS Office.
","• Участие в подготовке и расчете технических заданий и технико-экономических обоснований при планировании инвестиционной программы 2020 года;
• Участие в проекте "" Автоматической передачи шпона от лущильных линий к линиям сушки"".","• Возможность получения опыта в крупной российской компании, ведущей бизнес в 80 странах мира;
• Конкурентное вознаграждение;
• Рекомендательное письмо по итогам стажировки;
• Обучение и участие в проектах компании.
",15 000,РСС,Стажировка,Гибкий график,"Начальный уровень, Мало опыта ",anastasiya.sukhikh@sveza.com,• anastasiya.sukhikh@sveza.com  [color=violet](анастасия точка сухих собака свеза точка ком)[/color],
59,СВЕЗА Новатор,Новатор ,"Стажер службы по охране труда, промышленной безопасности и экологии","• Студент 3-5 курса (бакалавр, магистр), специальность «безопасность технологических процессов и производств», «техносферная безопасность», ""Пожарная безопасность"";
•  Внимательность, коммуникабельность, мобильность, умение находить источники информации в области ОТПБ и работать с большим объемом информации;
•  Приветствуется знание требований законодательства в области обучения сотрудников (охрана труда, обучение и аттестация сотрудников, обслуживающих ОПО)
• Владение ПК – MS Office, правовая система «Гарант».

","• Участие в разработке и вводе в работу матриц по обучению сотрудников.
• Составление планов графиков обучения (внутреннего и внешнего).
• Подборка материалов для создания базы для обучения руководителей в области охраны труда и промышленной безопасности.
","• Возможность получения опыта в крупной российской компании, ведущей бизнес в 80 странах мира;
• Конкурентное вознаграждение;
• Рекомендательное письмо по итогам стажировки;
• Обучение и участие в проектах компании.
",,РСС,Стажировка,Гибкий график,"Начальный уровень, Мало опыта ",anastasiya.sukhikh@sveza.com,• anastasiya.sukhikh@sveza.com  [color=violet](анастасия точка сухих собака свеза точка ком)[/color],
60,СВЕЗА Новатор,Новатор ,Стажер службы по обеспечению бизнеса,"• Студент 4-5 курса, бакалавр, магистр любого ВУЗа, специализация- юриспруденция, экономика, финансы;
• Коммуникабельность, открытость, внимательность, ответственность;
• Уверенное владение ПК – MS Office .
","• Участие в проекте ""Автономное обслуживание""","• Возможность получения опыта в крупной российской компании, ведущей бизнес в 80 странах мира;
• Конкурентное вознаграждение;
• Рекомендательное письмо по итогам стажировки;
• Обучение и участие в проектах компании.
",15 000,РСС,Стажировка,Гибкий график,"Начальный уровень, Мало опыта ",anastasiya.sukhikh@sveza.com,• anastasiya.sukhikh@sveza.com  [color=violet](анастасия точка сухих собака свеза точка ком)[/color],
61,СВЕЗА Новатор,Новатор ,Стажер службы по развитию бизнес системы,"• Студент 3-5 курса любого факультета;
• Коммуникабельность, открытость, внимательность, ответственность, активность;
• Уверенное владение ПК – MS Office.
","• Мониторинг инвест проектов, изучение бизнес процессов на предмет выявления и предупреждения рисков и угроз.
","• Возможность получения опыта в крупной российской компании, ведущей бизнес в 80 странах мира;
• Конкурентное вознаграждение;
• Рекомендательное письмо по итогам стажировки;
• Обучение и участие в проектах компании.
",15 000,РСС,Стажировка,Гибкий график,"Начальный уровень, Мало опыта ",anastasiya.sukhikh@sveza.com,• anastasiya.sukhikh@sveza.com  [color=violet](анастасия точка сухих собака свеза точка ком)[/color],
62,СВЕЗА Новатор,Новатор ,Начальник планово-экономического отдела,"• Высшее экономическое образование;
• Успешный опыт в области экономики производства от 5-и лет;
• Опыт ведения бюджетного планирования, контроля исполнения бюджета,  организации подготовки  и формирования управленческой отчетности. Уверенные навыки  и успешный опыт в работе с ПК(MS-Office, ERP системы). Продвинутый пользователь Excel.
• Уверенные знания основ экономики и организации производства, труда и управления.
","• Координация процесса планирования на предприятии (стратегическое, бизнес-планирование, прогноз, оперативное);
• Организация работы по анализу результатов  производственно-хозяйственной деятельности предприятия в целом и в разрезе подразделений, анализу себестоимости по видам продукции, условно-постоянных расходов;
• Обеспечение соблюдения графика планирования и отчетности;
• Контроль правильности производимых расчетов экономической эффективности инвест. проектов при подготовке ТЭО, мониторинга эффектов инвестиционных проектов, а также организационно-технических мероприятий;
• Анализ и мониторинг мероприятий по снижению себестоимости и повышению рентабельности производства;
• Координация процесса подготовки управленческой отчетности (подготовка отчетности, презентации, предоставление комментариев) в соответствии с централизованными стандартами компании;
• Участие в ежемесячном закрытии периода в системе SAP (проверки корректности данных в системе; инициирует корректировки при необходимости)
• Анализ и контроль бюджетов по предприятию в целом и в разрезе держателей бюджетов на ежемесячной основе.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда, ДМС, служебная развозка до комбината.",,РСС,Полная занятость,Полный день,Экономика и финансы,anastasiya.sukhikh@sveza.com,• anastasiya.sukhikh@sveza.com  [color=violet](анастасия точка сухих собака свеза точка ком)[/color],
63,СВЕЗА Новатор,Новатор ,Машинист котлов,"• Средне-специальное энергетическое  образование;
• Стаж работы по профессии не менее 1 года в области эксплуатации энергетического оборудования.","• Обеспечение в течение смены безаварийной, бесперебойной и эффективной работы тепло- и электрогенерирующего оборудования (паровые / водогрейные , турбоагрегаты), (система топливоподачи, ВПУ, электрооборудование собственных нужд и т.д.), теплопотребляющего оборудования, сетей водоснабжения и водоотведения и газового оборудования ТЭС.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда, ДМС, питание;
• Служебная развозка до комбината  ",,Рабочие,Полная занятость,Сменный график,Техническое развитие ,anastasiya.sukhikh@sveza.com,• anastasiya.sukhikh@sveza.com  [color=violet](анастасия точка сухих собака свеза точка ком)[/color],
64,СВЕЗА Мантурово,Мантурово,Инженер по надежности ,"• Высшее (техническое) образование;
• Опыт работы в технических и ремонтных службах (желательно);
• Владение офисным ПО: Word, Excel, PowerPoint;
• Умение работать в команде.","• Разработка мероприятий по повышению надежности оборудования комбината, ведение централизованных проектов по повышению надежности и внедрению новых практик;
• Участие в определении критичности оборудования комбината, проверка и сведение результатов в единые перечни критичного оборудования;
• Анализ первопричин отказов, разработка мероприятий, разработка и контроль выполнения плана корректирующих действий по комбинату;
• Организация технической диагностики и неразрушающего контроля оборудования комбината;
• Подготовка сводной отчетности по показателям надежности оборудования комбината.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда, ДМС, питание;
• Служебная развозка до комбината  ",от 40 000,РСС,Полная занятость,Полный день,Техническое развитие ,ra.kudriashova@sveza.com,• ra.kudriashova@sveza.com  [color=violet](эр эй точка кудриашова собака свеза точка ком)[/color],
65,,Мантурово,Водитель погрузчика,"• Среднее образование;
• Обязателен опыт работы на аналогичной позиции не менее 1 года;
• Удостоверение тракториста. в особых отметках: водитель погрузчика; бульдозерист.
","• Разработка мероприятий по повышению надежности оборудования комбината, ведение централизованных проектов по повышению надежности и внедрению новых практик;
• Участие в определении критичности оборудования комбината, проверка и сведение результатов в единые перечни критичного оборудования;
• Анализ первопричин отказов, разработка мероприятий, разработка и контроль выполнения плана корректирующих действий по комбинату;
• Организация технической диагностики и неразрушающего контроля оборудования комбината;
• Подготовка сводной отчетности по показателям надежности оборудования комбината.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда, ДМС, питание;
• Служебная развозка до комбината  ",от 17000,Рабочие,Полная занятость,Сменный график,Закупки и логистика,ra.kudriashova@sveza.com,• ra.kudriashova@sveza.com  [color=violet](эр эй точка кудриашова собака свеза точка ком)[/color],
66,СВЕЗА Мантурово,Мантурово,Водитель погрузчика,"• Среднее образование;
• Обязателен опыт работы на аналогичной позиции не менее 1 года;
• Наличие действующих прав тракториста машиниста с особой отметкой «водитель автопогрузчика»
","• Осуществление погрузки и выгрузки, перемещение товарно-материальных ценностей на складах с применение средств транспортировки;
• Размещение товарно-материальных ценностей на складах с учетом наиболее рационального использования  складских площадей;
• Сохранность товарно-материальных ценностей. ","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда, ДМС, питание;
• Служебная развозка до комбината  ",от 17 000,Рабочие,Полная занятость,Сменный график,Закупки и логистика,ra.kudriashova@sveza.com,• ra.kudriashova@sveza.com  [color=violet](эр эй точка кудриашова собака свеза точка ком)[/color],
67,СВЕЗА Мантурово,Мантурово,Старший техник по ремонту оборудования,"• Знание основ механики, гидравлики, пневматики;
• Умение работать с технической документацией;
• Умение работать с различными видами инструмента, в том числе измерительного, калибровочного или тестового оборудования необходимого для проведения ремонтных работ;
• Применение методов диагностики оборудования для предотвращения неисправностей;
• Знание MS Office.
","• Обеспечение исправного состояния, безаварийной и надежной работы обслуживаемых устройств и оборудования, правильной их эксплуатации, своевременного  качественного ремонта и модернизации в соответствии с инструкциями по техническому обслуживанию, утвержденными чертежами и схемами, действующими техническими условиями и нормами.
• Предотвращение внеплановых поломок.
• Осуществление подготовки устройств и оборудования к работе.
• Произведение технического осмотра отдельных устройств и узлов, контроль параметров и надежность механических, электрических и электронных элементов оборудования.
• Проведение тестовых проверок с целью своевременного обнаружения неисправностей.
• Работа с различной документации, электрических схем или какой-либо другой  документации, необходимой для проведения работ.","• Работа в крупной динамично развивающейся компании, лидере на рынке деревообработки в России;
• Перспектива профессионального и карьерного роста;
• Трудоустройство в соответствии с ТК РФ;
• Компенсационный пакет: спецодежда, ДМС, питание;
• Служебная развозка до комбината  ",от 33 000,Рабочие,Полная занятость,Сменный график,Техническое развитие ,ra.kudriashova@sveza.com,• ra.kudriashova@sveza.com  [color=violet](эр эй точка кудриашова собака свеза точка ком)[/color],
